TcYC6_0159070	TcYC6_Contig0	1849754	1850629	-	Mucin-associated surface protein (MASP), subgroup S002
TcYC6_0158300	TcYC6_Contig0	767652	768719	+	Mucin-associated surface protein (MASP), subgroup S001
TcYC6_0159890	TcYC6_Contig0	1696695	1697555	-	Mucin-associated surface protein (MASP), subgroup S004
TcYC6_0164770	TcYC6_Contig0	1377968	1379116	+	Mucin-associated surface protein (MASP), subgroup S010
TcYC6_0159360	TcYC6_Contig0	1453668	1455146	-	Mucin-associated surface protein (MASP)
TcYC6_0165360	TcYC6_Contig0	1632155	1633032	+	Mucin-associated surface protein (MASP), subgroup S047
TcYC6_0159240	TcYC6_Contig0	2489259	2490275	-	Mucin-associated surface protein (MASP), subgroup S034
TcYC6_0167300	TcYC6_Contig0	1475962	1476238	-	Mucin-associated surface protein (MASP), putative (fragment)
TcYC6_0165410	TcYC6_Contig0	1222501	1223909	-	Mucin-associated surface protein (MASP), subgroup S079
TcYC6_0159170	TcYC6_Contig0	2608340	2609308	-	Mucin-associated surface protein (MASP), subgroup S112
TcYC6_0159460	TcYC6_Contig0	1756961	1757809	-	Mucin-associated surface protein (MASP), subgroup S002
TcYC6_0158750	TcYC6_Contig0	901564	902397	+	Mucin-associated surface protein (MASP), subgroup S061
TcYC6_0158320	TcYC6_Contig0	998513	999694	-	Mucin-associated surface protein (MASP), subgroup S008
TcYC6_0164760	TcYC6_Contig0	1258541	1259431	-	Mucin-associated surface protein (MASP), subgroup S047
TcYC6_0158920	TcYC6_Contig0	1911373	1912245	-	Mucin-associated surface protein (MASP), subgroup S002
TcYC6_0158690	TcYC6_Contig0	896593	897426	+	Mucin-associated surface protein (MASP), subgroup S061
TcYC6_0167810	TcYC6_Contig0	746183	746649	+	Mucin-associated surface protein (MASP, pseudogene), putative
TcYC6_0167820	TcYC6_Contig0	2446759	2447231	-	Mucin-associated surface protein (MASP, pseudogene), putative
TcYC6_0159500	TcYC6_Contig0	2614173	2615573	-	Mucin-associated surface protein (MASP), subgroup S078
TcYC6_0167360	TcYC6_Contig0	2898034	2898461	+	Mucin-associated surface protein (MASP), putative (fragment)
TcYC6_0164630	TcYC6_Contig0	1013011	1013772	+	Mucin-associated surface protein (MASP), subgroup S008
TcYC6_0165580	TcYC6_Contig0	2750464	2751251	-	Mucin-associated surface protein (MASP), subgroup S068
TcYC6_0159780	TcYC6_Contig0	1885134	1885964	-	Mucin-associated surface protein (MASP), subgroup S001
TcYC6_0159560	TcYC6_Contig0	2142343	2143389	-	Mucin-associated surface protein (MASP), subgroup S030
TcYC6_0159950	TcYC6_Contig0	2619398	2621116	-	Mucin-associated surface protein (MASP), subgroup S001
TcYC6_0158770	TcYC6_Contig0	1684559	1685599	+	Mucin-associated surface protein (MASP), subgroup S030
TcYC6_0160180	TcYC6_Contig0	2069971	2070852	-	Mucin-associated surface protein (MASP), subgroup S002
TcYC6_0159620	TcYC6_Contig0	2089653	2090954	+	Mucin-associated surface protein (MASP), subgroup S077
TcYC6_0158600	TcYC6_Contig0	1041292	1042242	-	Mucin-associated surface protein (MASP), subgroup S117
TcYC6_0159190	TcYC6_Contig0	1118059	1119459	-	Mucin-associated surface protein (MASP), subgroup S079
TcYC6_0158900	TcYC6_Contig0	2803979	2805052	-	Mucin-associated surface protein (MASP), subgroup S030
TcYC6_0167310	TcYC6_Contig0	2864867	2865151	-	Mucin-associated surface protein (MASP), putative (fragment)
TcYC6_0159750	TcYC6_Contig0	910095	911384	+	Mucin-associated surface protein (MASP), subgroup S008
TcYC6_0165520	TcYC6_Contig0	2147327	2148211	+	Mucin-associated surface protein (MASP), subgroup S047
TcYC6_0167340	TcYC6_Contig0	2007251	2007566	+	Mucin-associated surface protein (MASP), putative (fragment)
TcYC6_0167430	TcYC6_Contig0	2925058	2925714	-	Mucin-associated surface protein (MASP), putative (fragment)
TcYC6_0159520	TcYC6_Contig0	1399266	1400114	-	Mucin-associated surface protein (MASP), subgroup S004
TcYC6_0164610	TcYC6_Contig0	763700	764794	-	Mucin-associated surface protein (MASP), subgroup S008
TcYC6_0159990	TcYC6_Contig0	2584515	2585324	+	Mucin-associated surface protein (MASP), subgroup S068
TcYC6_0158710	TcYC6_Contig0	685251	686009	-	Mucin-associated surface protein (MASP), subgroup S008
TcYC6_0158360	TcYC6_Contig0	2877434	2878300	-	Mucin-associated surface protein (MASP), subgroup S017
TcYC6_0158660	TcYC6_Contig0	1006167	1007489	+	Mucin-associated surface protein (MASP), subgroup S001
TcYC6_0159370	TcYC6_Contig0	1920056	1921534	-	Mucin-associated surface protein (MASP)
TcYC6_0158960	TcYC6_Contig0	2021445	2022737	+	Mucin-associated surface protein (MASP), subgroup S074
TcYC6_0159720	TcYC6_Contig0	2856280	2857647	+	Mucin-associated surface protein (MASP), subgroup S009
